Point,X,Y,Wavelength,Velocity
1,1.75,12,4.75,6055.
1,1.75,12,5.25,6023.
1,1.75,12,5.75,5396.
1,1.75,12,6.25,5247.
1,1.75,12,6.75,5320.
1,1.75,12,7.25,5372.
1,1.75,12,7.75,5429.
1,1.75,12,8.25,5502.
1,1.75,12,8.75,5599.
1,1.75,12,9.25,5681.
1,1.75,12,9.75,5752.
1,1.75,12,10.25,5835.
1,1.75,12,10.75,5898.
1,1.75,12,10.75,5898.
1,1.75,12.5,2.25,6328.
1,1.75,12.5,2.75,6534.
1,1.75,12.5,3.25,6540.
1,1.75,12.5,3.75,6273.
1,1.75,12.5,4.25,6304.
1,1.75,12.5,4.75,6084.
1,1.75,12.5,5.25,5845.
1,1.75,12.5,5.75,5563.
1,1.75,12.5,6.25,5500.
1,1.75,12.5,6.75,5459.
1,1.75,12.5,7.25,5421.
1,1.75,12.5,7.75,5402.
1,1.75,12.5,8.25,5416.
1,1.75,12.5,8.75,5459.
1,1.75,12.5,9.25,5532.
1,1.75,12.5,9.75,5625.
1,1.75,12.5,10.25,5725.
1,1.75,12.5,10.25,5725.
1,1.75,13.5,2.25,6757.
1,1.75,13.5,2.75,6785.
1,1.75,13.5,3.25,6367.
1,1.75,13.5,3.75,6493.
1,1.75,13.5,4.25,6057.
1,1.75,13.5,4.75,6178.
1,1.75,13.5,5.25,5556.
1,1.75,13.5,5.75,5783.
1,1.75,13.5,6.25,5865.
1,1.75,13.5,6.75,5300.
1,1.75,13.5,7.25,4831.
1,1.75,13.5,7.75,4948.
1,1.75,13.5,8.25,5056.
1,1.75,13.5,8.75,5186.
1,1.75,13.5,9.25,5334.
1,1.75,13.5,9.75,5467.
1,1.75,13.5,10.25,5577.
1,1.75,14,2.25,5645.
1,1.75,14,2.75,5802.
1,1.75,14,3.25,5890.
1,1.75,14,3.75,5668.
1,1.75,14,4.25,5192.
1,1.75,14,4.75,4937.
1,1.75,14,5.25,4709.
1,1.75,14,5.75,4878.
1,1.75,14,6.25,5115.
1,1.75,14,6.75,5262.
1,1.75,14,7.25,5110.
1,1.75,14,7.75,4906.
1,1.75,14,8.25,4837.
1,1.75,14,8.75,4775.
1,1.75,14,9.25,4696.
1,1.75,14,9.75,4627.
1,1.75,14,10.25,4606.
1,1.75,14,10.25,4606.
1,1.75,14.5,2.25,6252.
1,1.75,14.5,2.75,6293.
1,1.75,14.5,3.25,6299.
1,1.75,14.5,3.75,6368.
1,1.75,14.5,4.25,6574.
1,1.75,14.5,4.75,6775.
1,1.75,14.5,5.25,6179.
1,1.75,14.5,5.75,5592.
1,1.75,14.5,6.25,5618.
1,1.75,14.5,6.75,5690.
1,1.75,14.5,7.25,5368.
1,1.75,14.5,7.75,4955.
1,1.75,14.5,8.25,4945.
1,1.75,14.5,8.75,5034.
1,1.75,14.5,9.25,5181.
1,1.75,14.5,9.75,5307.
1,1.75,14.5,10.25,5467.
1,1.75,14.5,10.25,5467.
1,1.75,15,2.25,6475.
1,1.75,15,2.75,6556.
1,1.75,15,3.25,6725.
1,1.75,15,3.75,6859.
1,1.75,15,4.25,6911.
1,1.75,15,4.75,6275.
1,1.75,15,5.25,5422.
1,1.75,15,5.75,5225.
1,1.75,15,6.25,5332.
1,1.75,15,6.75,5416.
1,1.75,15,7.25,5512.
1,1.75,15,7.75,5587.
1,1.75,15,8.25,5549.
1,1.75,15,8.75,5325.
1,1.75,15,9.25,5173.
1,1.75,15,9.75,5181.
1,1.75,15,9.75,5181.
1,1.75,15.5,2.25,6685.
1,1.75,15.5,2.75,6688.
1,1.75,15.5,3.25,6678.
1,1.75,15.5,3.75,6644.
1,1.75,15.5,4.25,6600.
1,1.75,15.5,4.75,6426.
1,1.75,15.5,5.25,6146.
1,1.75,15.5,5.75,5854.
1,1.75,15.5,6.25,5780.
1,1.75,15.5,6.75,5766.
1,1.75,15.5,7.25,5731.
1,1.75,15.5,7.75,5711.
1,1.75,15.5,8.25,5739.
1,1.75,15.5,8.75,5801.
1,1.75,15.5,9.25,5874.
1,1.75,15.5,9.75,5947.
1,1.75,15.5,10.25,6028.
1,1.75,15.5,10.75,6087.
1,1.75,16.5,2.25,6635.
1,1.75,16.5,2.75,6564.
1,1.75,16.5,3.25,6637.
1,1.75,16.5,3.75,6638.
1,1.75,16.5,4.25,6231.
1,1.75,16.5,4.75,5857.
1,1.75,16.5,5.25,5819.
1,1.75,16.5,5.75,5833.
1,1.75,16.5,6.25,5899.
1,1.75,16.5,6.75,5959.
1,1.75,16.5,7.25,5996.
1,1.75,16.5,7.75,6020.
1,1.75,16.5,8.25,6058.
1,1.75,16.5,8.75,6116.
1,1.75,16.5,9.25,6200.
1,1.75,16.5,9.75,6291.
1,1.75,16.5,10.25,6365.
1,1.75,16.5,10.75,6444.
1,1.75,16.5,10.75,6444.
1,1.75,17,2.25,6892.
1,1.75,17,2.75,6938.
1,1.75,17,3.25,7083.
1,1.75,17,3.75,6971.
1,1.75,17,4.25,6815.
1,1.75,17,4.75,6459.
1,1.75,17,5.25,6246.
1,1.75,17,5.75,6155.
1,1.75,17,6.25,6153.
1,1.75,17,6.75,6132.
1,1.75,17,7.25,6122.
1,1.75,17,7.75,6158.
1,1.75,17,8.25,6197.
1,1.75,17,8.75,6234.
1,1.75,17,9.25,6267.
1,1.75,17,9.75,6294.
1,1.75,17,10.25,6311.
1,1.75,17,10.75,6314.
1,1.75,17,10.75,6314.
1,1.75,17.5,2.25,6662.
1,1.75,17.5,2.75,6679.
1,1.75,17.5,3.25,6668.
1,1.75,17.5,3.75,6451.
1,1.75,17.5,4.25,6430.
1,1.75,17.5,4.75,6379.
1,1.75,17.5,5.25,6309.
1,1.75,17.5,5.75,6240.
1,1.75,17.5,6.25,6044.
1,1.75,17.5,6.75,6069.
1,1.75,17.5,7.25,6079.
1,1.75,17.5,7.75,6003.
1,1.75,17.5,8.25,5971.
1,1.75,17.5,8.75,6031.
1,1.75,17.5,9.25,6126.
1,1.75,17.5,9.75,6227.
1,1.75,17.5,10.25,6316.
1,1.75,17.5,10.75,6385.
1,1.75,17.5,10.75,6385.
1,1.75,18,2.25,6571.
1,1.75,18,2.75,6615.
1,1.75,18,3.25,6580.
1,1.75,18,3.75,6557.
1,1.75,18,4.25,6448.
1,1.75,18,4.75,6184.
1,1.75,18,5.75,6140.
1,1.75,18,6.25,6042.
1,1.75,18,6.75,6107.
1,1.75,18,7.25,6160.
1,1.75,18,7.75,6174.
1,1.75,18,8.25,6201.
1,1.75,18,8.75,6265.
1,1.75,18,9.25,6364.
1,1.75,18,9.75,6461.
1,1.75,18,10.25,6539.
1,1.75,18,10.75,6597.
1,1.75,18,11.25,6629.
1,1.75,18.5,2.25,6526.
1,1.75,18.5,2.75,6557.
1,1.75,18.5,3.25,6426.
1,1.75,18.5,3.75,6314.
1,1.75,18.5,4.25,6253.
1,1.75,18.5,4.75,6119.
1,1.75,18.5,5.25,6097.
1,1.75,18.5,5.75,5927.
1,1.75,18.5,6.25,5667.
1,1.75,18.5,6.75,5631.
1,1.75,18.5,7.25,5754.
1,1.75,18.5,7.75,5820.
1,1.75,18.5,8.25,5881.
1,1.75,18.5,8.75,5952.
1,1.75,18.5,9.25,6029.
1,1.75,18.5,9.75,6113.
1,1.75,18.5,10.25,6205.
1,1.75,18.5,10.75,6295.
1,1.75,18.5,10.75,6295.
1,1.75,19.5,2.25,6562.
1,1.75,19.5,2.75,6608.
1,1.75,19.5,3.25,6817.
1,1.75,19.5,3.75,6895.
1,1.75,19.5,4.25,6864.
1,1.75,19.5,4.75,6634.
1,1.75,19.5,5.25,6371.
1,1.75,19.5,5.75,6230.
1,1.75,19.5,6.25,6142.
1,1.75,19.5,6.75,6079.
1,1.75,19.5,7.25,6093.
1,1.75,19.5,7.75,6087.
1,1.75,19.5,8.25,6154.
1,1.75,19.5,8.75,6248.
1,1.75,19.5,9.25,6348.
1,1.75,19.5,9.75,6452.
1,1.75,19.5,10.25,6555.
1,1.75,19.5,10.75,6653.
1,1.75,19.5,10.75,6653.
1,1.75,20,2.25,6558.
1,1.75,20,2.75,6690.
1,1.75,20,3.25,6627.
1,1.75,20,3.75,6403.
1,1.75,20,4.25,6453.
1,1.75,20,4.75,6366.
1,1.75,20,5.25,6264.
1,1.75,20,5.75,6209.
1,1.75,20,6.25,6127.
1,1.75,20,6.75,6082.
1,1.75,20,7.25,6077.
1,1.75,20,7.75,6086.
1,1.75,20,8.25,6135.
1,1.75,20,8.75,6218.
1,1.75,20,9.25,6321.
1,1.75,20,9.75,6427.
1,1.75,20,10.25,6536.
1,1.75,20,10.75,6618.
1,1.75,20,10.75,6618.
1,1.75,20.5,2.25,6438.
1,1.75,20.5,2.75,6534.
1,1.75,20.5,3.25,6501.
1,1.75,20.5,3.75,6452.
1,1.75,20.5,4.25,6545.
1,1.75,20.5,4.75,6486.
1,1.75,20.5,5.25,6452.
1,1.75,20.5,5.75,6397.
1,1.75,20.5,6.25,6408.
1,1.75,20.5,6.75,6506.
1,1.75,20.5,7.25,6549.
1,1.75,20.5,7.75,6331.
1,1.75,20.5,8.25,6216.
1,1.75,20.5,8.75,6287.
1,1.75,20.5,9.25,6406.
1,1.75,20.5,9.75,6528.
1,1.75,20.5,10.25,6621.
1,1.75,20.5,10.75,6688.
1,1.75,20.5,11.25,6725.
1,1.75,20.5,11.25,6725.
1,1.75,21,2.25,6889.
1,1.75,21,2.75,6837.
1,1.75,21,3.25,6692.
1,1.75,21,3.75,6556.
1,1.75,21,4.25,6596.
1,1.75,21,4.75,6488.
1,1.75,21,5.25,6457.
1,1.75,21,5.75,6383.
1,1.75,21,6.25,6344.
